date,isholiday
9/3/2020,false
9/5/2020,true
9/6/2020,true
9/12/2020,true
9/13/2020,true
9/19/2020,true
9/20/2020,true
9/26/2020,false
9/27/2020,true
10/1/2020,true
10/2/2020,true
10/3/2020,true
10/4/2020,true
10/9/2020,true
10/10/2020,true
10/11/2020,true
10/17/2020,true
10/18/2020,true
10/24/2020,true
10/25/2020,true
10/31/2020,true
11/1/2020,true
11/7/2020,true
11/8/2020,true
11/14/2020,true
11/15/2020,true
11/21/2020,true
11/22/2020,true
11/28/2020,true
11/29/2020,true
12/5/2020,true
12/6/2020,true
12/12/2020,true
12/13/2020,true
12/19/2020,true
12/20/2020,true
12/26/2020,true
12/27/2020,true
1/1/2021,true
1/2/2021,true
1/3/2021,true
1/9/2021,true
1/10/2021,true
1/16/2021,true
1/17/2021,true
1/23/2021,true
1/24/2021,true
1/30/2021,true
1/31/2021,true
2/6/2021,true
2/7/2021,true
2/10/2021,true
2/11/2021,true
2/12/2021,true
2/13/2021,true
2/14/2021,true
2/15/2021,true
2/16/2021,true
2/20/2021,false
2/21/2021,true
2/27/2021,true
2/28/2021,true
3/1/2021,true
3/6/2021,true
3/7/2021,true
3/13/2021,true
3/14/2021,true
3/20/2021,true
3/21/2021,true
3/27/2021,true
3/28/2021,true
4/2/2021,true
4/3/2021,true
4/4/2021,true
4/5/2021,true
4/10/2021,true
4/11/2021,true
4/17/2021,true
4/18/2021,true
4/24/2021,true
4/25/2021,true
5/1/2021,true
5/2/2021,true
5/8/2021,true
5/9/2021,true
5/15/2021,true
5/16/2021,true
5/22/2021,true
5/23/2021,true
5/29/2021,true
5/30/2021,true
6/5/2021,true
6/6/2021,true
6/12/2021,true
6/13/2021,true
6/14/2021,true
6/19/2021,true
6/20/2021,true
6/26/2021,true
6/27/2021,true
7/3/2021,true
7/4/2021,true
7/10/2021,true
7/11/2021,true
7/17/2021,true
7/18/2021,true
7/24/2021,true
7/25/2021,true
7/31/2021,true
8/1/2021,true
8/7/2021,true
8/8/2021,true
8/14/2021,true
8/15/2021,true
8/21/2021,true
8/22/2021,true
8/28/2021,true
8/29/2021,true
9/3/2021,false
9/4/2021,true
9/5/2021,true
9/11/2021,false
9/12/2021,true
9/18/2021,true
9/19/2021,true
9/20/2021,true
9/21/2021,true
9/25/2021,true
9/26/2021,true
10/2/2021,true
10/3/2021,true
10/9/2021,true
10/10/2021,true
10/11/2021,true
10/16/2021,true
10/17/2021,true
10/23/2021,true
10/24/2021,true
10/30/2021,true
10/31/2021,true
11/6/2021,true
11/7/2021,true
11/13/2021,true
11/14/2021,true
11/20/2021,true
11/21/2021,true
11/27/2021,true
11/28/2021,true
12/4/2021,true
12/5/2021,true
12/11/2021,true
12/12/2021,true
12/18/2021,true
12/19/2021,true
12/25/2021,true
12/26/2021,true
12/31/2021,true
